filename,duration,waveform,intervals_cents,octaves
majorArpeggio-12ET,2,sin,0 400 700 1200,A0 A1 A2 A3 A4 A5 A6 A7
MajorArpeggio-just12limit,2,sin,0 386.31 702 1200,A0 A1 A2 A3 A4 A5 A6 A7
Semitone-range-alternating,2,sin,0 75 0 80 0 85 0 90 0 95 0 100,A0 A1 A2 A3 A4 A5 A6 A7
Semitone-range-sequential,2,sin,0 75 80 85 90 95 100,A0 A1 A2 A3 A4 A5 A6 A7
enharmonic-steps-20cents,2,sin,0 20 40 60 80 100 120 140 160 180 200,A0 A1 A2 A3 A4 A5 A6 A7
melody-12ET,0.5 0.5 0.5 0.5 0.75 0.25 0.5 0.5 0.5 0.25 0.25 0.5 0.5 2,sin,0 1200 1100 1200 700 800 1000 800 700 500 300 200 300 0,A0 A1 A2 A3 A4 A5 A6 A7
melody-just12limit,0.5 0.5 0.5 0.5 0.75 0.25 0.5 0.5 0.5 0.25 0.25 0.5 0.5 2,sin,0 1200 1088 1200 702 814 1018 814 702 498 316 204 316 0,A0 A1 A2 A3 A4 A5 A6 A7
melody-pythagorean,0.5 0.5 0.5 0.5 0.75 0.25 0.5 0.5 0.5 0.25 0.25 0.5 0.5 2,sin,0 1200 1110 1200 702 792 996 792 702 498 294 204 294 0,A0 A1 A2 A3 A4 A5 A6 A7
melody-12ET-tempo120,0.25 0.25 0.25 0.25 0.375 0.125 0.25 0.25 0.25 0.125 0.125 0.25 0.25 1,sin,0 1200 1100 1200 700 800 1000 800 700 500 300 200 300 0,A3
melody-12ET-tempo240,0.125 0.125 0.125 0.125 0.1875 0.0625 0.125 0.125 0.125 0.0625 0.0625 0.125 0.125 0.5,sin,0 1200 1100 1200 700 800 1000 800 700 500 300 200 300 0,A3
melody-12ET-tempo480,0.0625 0.0625 0.0625 0.0625 0.09375 0.03125 0.0625 0.0625 0.0625 0.03125 0.03125 0.0625 0.0625 0.25,sin,0 1200 1100 1200 700 800 1000 800 700 500 300 200 300 0,A3
